,name,url,entry_requirements,quarantine,travel_corridor
0,Afghanistan,https://www.gov.uk/foreign-travel-advice/afghanistan,https://www.gov.uk/foreign-travel-advice/afghanistan/entry-requirements,"There are currently no compulsory quarantine requirements. However, if you have a high temperature the government will advise you to quarantine.",False
1,Albania,https://www.gov.uk/foreign-travel-advice/albania,https://www.gov.uk/foreign-travel-advice/albania/entry-requirements,,False
2,Algeria,https://www.gov.uk/foreign-travel-advice/algeria,https://www.gov.uk/foreign-travel-advice/algeria/entry-requirements,"Current quarantine requirements are a compulsory 14-day stay at a state facility, or own accommodation (if diplomatic), or company accommodation (if authorised by the Prime Minister).",False
3,Andorra,https://www.gov.uk/foreign-travel-advice/andorra,https://www.gov.uk/foreign-travel-advice/andorra/entry-requirements,,True
4,Angola,https://www.gov.uk/foreign-travel-advice/angola,https://www.gov.uk/foreign-travel-advice/angola/entry-requirements,All air passengers arriving in Angola will need to undertake 14 days of compulsory quarantine in a government facility or in a government-approved hotel (the latter at your own expense).,False
5,Anguilla,https://www.gov.uk/foreign-travel-advice/anguilla,https://www.gov.uk/foreign-travel-advice/anguilla/entry-requirements,All persons from the above three categories returning to Anguilla will have to undertake 14 days quarantine in either a government run quarantine facility or a government approved self-quarantine facility.,True
6,Antigua and Barbuda,https://www.gov.uk/foreign-travel-advice/antigua-and-barbuda,https://www.gov.uk/foreign-travel-advice/antigua-and-barbuda/entry-requirements,"The local authorities may instruct you to enter government-provided quarantine, for which a further fee of XCD 100 per night is payable, depending on the results of their screening and testing procedures. Those with pre-booked hotel accommodation will normally be permitted to travel to their accommodation after screening. Those staying with family, friends, or their own place of residence, must spend their first night in mandatory government quarantine and will be subject to an interview to determine their suitability to leave for their private accommodation arrangements. Those not deemed to have suitable private accommodation arrangements will be obliged to remain in government quarantine at their expense for between seven and 14 days.",True
7,Argentina,https://www.gov.uk/foreign-travel-advice/argentina,https://www.gov.uk/foreign-travel-advice/argentina/entry-requirements,,False
8,Armenia,https://www.gov.uk/foreign-travel-advice/armenia,https://www.gov.uk/foreign-travel-advice/armenia/entry-requirements,,False
9,Aruba,https://www.gov.uk/foreign-travel-advice/aruba,https://www.gov.uk/foreign-travel-advice/aruba/entry-requirements,Those who test positive for COVID-19 during their stay will be required to self-isolate.  Please see this website for further information.,True
10,Australia,https://www.gov.uk/foreign-travel-advice/australia,https://www.gov.uk/foreign-travel-advice/australia/entry-requirements,,True
11,Austria,https://www.gov.uk/foreign-travel-advice/austria,https://www.gov.uk/foreign-travel-advice/austria/entry-requirements,,True
12,Azerbaijan,https://www.gov.uk/foreign-travel-advice/azerbaijan,https://www.gov.uk/foreign-travel-advice/azerbaijan/entry-requirements,"Anyone who displays symptoms of COVID-19 will be directed to the medical station at the airport. From there the case will be reported to the Emergency Medical Services. If you are taken in to state quarantine facilities or hospitalised you should inform the British Embassy.  Call: +994 12 437 7878. You may hear a message stating that our offices are closed, however, we are available 24/7 – please stay on the line to select the option for ‘calling about an emergency involving a British national’ to speak to a Consular duty officer.” You can also reach us via Facebook",False
13,Bahamas,https://www.gov.uk/foreign-travel-advice/bahamas,https://www.gov.uk/foreign-travel-advice/bahamas/entry-requirements,,True
14,Bahrain,https://www.gov.uk/foreign-travel-advice/bahrain,https://www.gov.uk/foreign-travel-advice/bahrain/entry-requirements,"All arrivals into Bahrain will be subject to coronavirus testing procedures.  Those who test negative will be required to self-isolate for 10 days on arrival. Those who test positive will be subject to further quarantine measures and health treatment at hospital or quarantine centres. Those who test positive but are without symptoms may be permitted to self-isolate at home. At the end of the 10 day period, those self-isolating will be required to undergo an additional coronavirus test, which can be booked through the “BeAware” app or by calling 444.",False
15,Bangladesh,https://www.gov.uk/foreign-travel-advice/bangladesh,https://www.gov.uk/foreign-travel-advice/bangladesh/entry-requirements,"Passengers arriving from coronavirus affected countries, including the UK, are also required to self-quarantine for 14 days. Health officials at the point of entry to Bangladesh will assess whether passengers are able to self-quarantine or need to be taken to a government facility.",False
16,Barbados,https://www.gov.uk/foreign-travel-advice/barbados,https://www.gov.uk/foreign-travel-advice/barbados/entry-requirements,,True
17,Belarus,https://www.gov.uk/foreign-travel-advice/belarus,https://www.gov.uk/foreign-travel-advice/belarus/entry-requirements,"On 26 March, the Belarusian government announced that all arrivals from countries that are affected by coronavirus must self-isolate for a period of 14 days, regardless of whether they show symptoms. Those arriving from the UK with a medical certificate showing a negative coronavirus test result, issued no later than 48 hours before entry, will not need to self-isolate.",False
18,Belgium,https://www.gov.uk/foreign-travel-advice/belgium,https://www.gov.uk/foreign-travel-advice/belgium/entry-requirements,,True
19,Belize,https://www.gov.uk/foreign-travel-advice/belize,https://www.gov.uk/foreign-travel-advice/belize/entry-requirements,,False
20,Benin,https://www.gov.uk/foreign-travel-advice/benin,https://www.gov.uk/foreign-travel-advice/benin/entry-requirements,"Those who test positive for COVID-19 will be subject to government-mandated isolation measures, which may include quarantine in a government-designated hotel at passenger expense. Quarantine areas will be guarded by defence and security forces to ensure that quarantine regulations are strictly adhered to, and the Government of Benin will retain passengers’ passports until all testing and isolation requirements are met to ensure compliance.",False
21,Bermuda,https://www.gov.uk/foreign-travel-advice/bermuda,https://www.gov.uk/foreign-travel-advice/bermuda/entry-requirements,,True
22,Bhutan,https://www.gov.uk/foreign-travel-advice/bhutan,https://www.gov.uk/foreign-travel-advice/bhutan/entry-requirements,,False
23,Bolivia,https://www.gov.uk/foreign-travel-advice/bolivia,https://www.gov.uk/foreign-travel-advice/bolivia/entry-requirements,,False
24,Bonaire/St Eustatius/Saba,https://www.gov.uk/foreign-travel-advice/bonaire-st-eustatius-saba,https://www.gov.uk/foreign-travel-advice/bonaire-st-eustatius-saba/entry-requirements,,True
25,Bosnia and Herzegovina,https://www.gov.uk/foreign-travel-advice/bosnia-and-herzegovina,https://www.gov.uk/foreign-travel-advice/bosnia-and-herzegovina/entry-requirements,,False
26,Botswana,https://www.gov.uk/foreign-travel-advice/botswana,https://www.gov.uk/foreign-travel-advice/botswana/entry-requirements,"Returning residents, including from the UK, will be subject to a 14-day mandatory quarantine period in government facilities at their own expense and compulsory COVID-19 testing.",False
27,Brazil,https://www.gov.uk/foreign-travel-advice/brazil,https://www.gov.uk/foreign-travel-advice/brazil/entry-requirements,,False
28,British Antarctic Territory,https://www.gov.uk/foreign-travel-advice/british-antarctic-territory,https://www.gov.uk/foreign-travel-advice/british-antarctic-territory/entry-requirements,,True
29,British Indian Ocean Territory,https://www.gov.uk/foreign-travel-advice/british-indian-ocean-territory,https://www.gov.uk/foreign-travel-advice/british-indian-ocean-territory/entry-requirements,"All new arrivals into the British Indian Ocean Territory are required to conduct a 14-day quarantine upon arrival, except in very limited circumstances. Full details of all rules in effect in the Territory to safeguard public health will be provided to new arrivals prior to or on arrival.",False
30,British Virgin Islands,https://www.gov.uk/foreign-travel-advice/british-virgin-islands,https://www.gov.uk/foreign-travel-advice/british-virgin-islands/entry-requirements,,True
31,Brunei,https://www.gov.uk/foreign-travel-advice/brunei,https://www.gov.uk/foreign-travel-advice/brunei/entry-requirements,"If the Government of Brunei permits you entry, you will be required to go into quarantine on arrival at a government booked facility (usually a local hotel).",False
32,Bulgaria,https://www.gov.uk/foreign-travel-advice/bulgaria,https://www.gov.uk/foreign-travel-advice/bulgaria/entry-requirements,"From 16 July 2020, arrivals from the UK, regardless of nationality, are no longer required to self-isolate for 14 days from the date of arrival.",False
33,Burkina Faso,https://www.gov.uk/foreign-travel-advice/burkina-faso,https://www.gov.uk/foreign-travel-advice/burkina-faso/entry-requirements,,False
34,Burundi,https://www.gov.uk/foreign-travel-advice/burundi,https://www.gov.uk/foreign-travel-advice/burundi/entry-requirements,"If you’re eligible for entry,  quarantine requirements are subject to the following conditions:",False
